Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
4436,A,Cambiaghi,Bologna,25,23,2.0,2.273,11,11,0,25,18,4,620,6.9,1,3,4,1,0,0,0,0,0.8,0.8,1.9,2.7,45,25,63
2155,A,Cutrone,Parma,21,26,-2.0,2.182,11,10,1,24,33,23,2047,22.7,7,4,11,7,0,1,1,0,7.1,6.3,2.1,8.4,53,31,155
441,A,Belotti,Cagliari,20,,,2.000,11,11,0,22,18,7,593,6.6,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.8,9,9,33
6519,A,Camarda,Lecce,19,6,16.0,2.000,11,12,-1,22,10,1,206,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,2,1,16
6159,A,Sarr A.,Verona,21,20,1.0,3.000,7,8,-1,21,32,25,1907,21.2,4,1,5,4,0,0,1,0,3.2,3.2,2.1,5.4,31,41,103
6653,A,Bravo,Udinese,21,11,10.0,3.500,6,6,0,21,29,4,682,7.6,2,1,3,2,0,0,3,0,0.9,0.9,0.4,1.3,7,18,39
7162,A,Giovane,Verona,20,,,6.667,3,1,2,20,,,,,,,,,,,,,,,,,,,
5918,A,Sulemana K.,Atalanta,20,,,2.500,8,9,-1,20,9,3,283,3.1,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,2,12,2
6145,A,Ngonge,Torino,20,9,11.0,2.500,8,9,-1,20,18,1,216,2.4,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.1,7,8,36
505,A,Bonazzoli,Cremonese,19,,,6.333,3,1,2,19,,,,,,,,,,,,,,,,,,,
5297,A,Luvumbo,Cagliari,18,17,1.0,1.500,12,12,0,18,26,19,1606,17.8,2,2,4,2,0,0,2,0,2.1,2.1,3.1,5.2,70,31,125
7129,A,Rodriguez Je.,Como,21,,,3.000,6,5,1,18,,,,,,,,,,,,,,,,,,,
6164,A,Vitinha O.,Genoa,15,22,-4.0,1.800,10,11,-1,18,25,16,1328,14.8,2,3,5,2,0,0,2,0,1.6,1.6,3.3,5.0,38,19,71
6895,A,Dominguez B.,Bologna,20,17,0.0,2.125,8,9,-1,17,,,,,,,,,,,,,,,,,,,
7071,A,Esposito F.P.,Inter,13,,,2.286,7,7,0,16,33,27,2331,25.9,8,0,8,7,1,2,1,0,5.7,4.2,2.1,6.3,31,93,106
7127,A,Addai,Como,19,,,2.667,6,7,-1,16,,,,,,,,,,,,,,,,,,,
6555,A,Moumbagna,Cremonese,16,,,2.667,6,6,0,16,,,,,,,,,,,,,,,,,,,
7183,A,Aboukhlal,Torino,15,,,1.875,8,9,-1,15,,,,,,,,,,,,,,,,,,,
6630,A,Mosquera,Verona,14,13,1.0,2.000,7,6,1,14,35,12,1375,15.3,5,1,6,5,0,0,4,0,6.6,6.6,1.3,7.9,17,25,83
5471,A,Djuric,Parma,11,18,-4.0,2.000,7,8,-1,14,,,,,,,,,,,,,,,,,,,
7199,A,Kilicsoy,Cagliari,14,,,2.333,6,6,0,14,,,,,,,,,,,,,,,,,,,
6643,A,Dallinga,Bologna,10,31,-18.0,1.300,10,10,0,13,31,11,1154,12.8,3,2,5,3,0,0,1,0,4.3,4.3,0.6,4.9,9,17,84
6667,A,Benedyczak,Parma,13,5,8.0,13.000,1,1,0,13,9,2,214,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,3,3,12
6836,A,Meister,Pisa,10,,,6.500,2,2,0,13,,,,,,,,,,,,,,,,,,,
5455,A,Moreo,Pisa,13,,,2.167,6,5,1,13,,,,,,,,,,,,,,,,,,,
