Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
2766,C,Zaniolo,Udinese,25,11,16.0,2.700,10,10,0,27,9,4,343,3.8,0,0,0,0,0,0,2,1,0.7,0.6,0.2,0.9,8,5,20
6252,C,Folorunsho,Cagliari,27,14,13.0,3.000,9,9,0,27,14,6,650,7.2,0,0,0,0,0,0,5,0,1.1,1.1,0.6,1.7,13,21,33
7070,C,Sucic P.,Inter,26,,,2.889,9,9,0,26,,,,,,,,,,,,,,,,,,,
7135,C,Stanciu,Genoa,26,,,3.250,8,8,0,26,,,,,,,,,,,,,,,,,,,
5422,C,Zalewski,Atalanta,28,15,10.0,3.571,7,6,1,25,12,4,533,5.9,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,31,17,54
4479,C,Elmas,Napoli,25,71,-46.0,2.273,11,11,0,25,13,12,1021,11.3,4,0,4,4,0,0,0,0,1.4,1.4,0.4,1.8,42,34,58
5850,C,Lovric,Udinese,25,23,2.0,2.778,9,9,0,25,,,,,,,,,,,,,,,,,,,
5119,C,Samardzic,Atalanta,22,10,15.0,2.500,10,11,-1,25,31,7,1169,13.0,2,1,3,2,0,0,3,0,2.0,2.0,2.9,4.9,54,92,99
449,C,Vazquez,Cremonese,24,,,2.182,11,10,1,24,,,,,,,,,,,,,,,,,,,
4896,C,Maldini,Atalanta,24,34,-10.0,3.429,7,8,-1,24,10,2,258,2.9,3,0,3,3,0,0,0,0,1.9,1.9,0.2,2.1,12,7,30
4287,C,Lobotka,Napoli,29,21,3.0,2.400,10,10,0,24,32,31,2636,29.3,0,1,1,0,0,0,3,0,0.3,0.3,1.2,1.5,30,118,32
7146,C,Tourè I.,Pisa,26,,,2.875,8,7,1,23,,,,,,,,,,,,,,,,,,,
779,C,Cristante,Roma,25,32,-9.0,2.300,10,9,1,23,30,23,2045,22.7,4,2,6,4,0,0,8,0,2.1,2.1,1.4,3.5,25,145,41
7203,C,Jashari,Milan,23,,,1.917,12,13,-1,23,,,,,,,,,,,,,,,,,,,
7132,C,Collocolo,Cremonese,28,,,2.300,10,9,1,23,,,,,,,,,,,,,,,,,,,
4947,C,Brescianini,Atalanta,23,23,0.0,3.286,7,8,-1,23,29,9,991,11.0,4,2,6,4,0,0,1,0,3.1,3.1,1.0,4.1,46,36,69
4186,C,Guendouzi,Lazio,23,21,2.0,1.917,12,11,1,23,37,37,3270,36.3,1,3,4,1,0,0,7,0,1.4,1.4,3.2,4.6,89,316,64
788,C,Freuler,Bologna,28,28,-5.0,1.917,12,12,0,23,37,37,3204,35.6,1,2,3,1,0,0,6,0,1.3,1.3,1.5,2.7,39,208,56
6889,C,Anjorin,Torino,23,27,-4.0,2.556,9,10,-1,23,22,14,1114,12.4,2,3,5,2,0,0,3,0,0.9,0.9,1.7,2.5,28,55,35
5858,C,Ferguson,Bologna,23,18,5.0,2.300,10,11,-1,23,16,10,983,10.9,1,1,2,0,1,1,0,0,1.0,0.2,1.1,1.3,20,53,26
4349,C,Nicolussi Caviglia,Fiorentina,28,46,-23.0,2.300,10,10,0,23,35,33,2861,31.8,4,2,6,4,0,0,7,1,2.4,2.4,2.1,4.5,20,140,22
5453,C,Ricci S.,Milan,27,21,1.0,2.000,11,11,0,22,34,34,2825,31.4,1,1,2,1,0,0,8,1,1.3,1.3,0.6,1.8,43,116,30
